"Freq [MHz]","Ltx_uH []","Lrx_uH []","M_uH []","k_ratio []","Qtx_ratio []","Qrx_ratio []","FOM_ratio []","re_Z11_ohm []","im_Z11_ohm []","re_Z22_ohm []","im_Z22_ohm []","re_Z12_ohm []","im_Z12_ohm []","M_over_Ltx_ratio []","M_over_Lrx_ratio []","eta_fom_max_ratio []","Volume(tx_mull_ferrite_sheet) [m3]","Volume(tx_ssw_coil_ssw_copper) [m3]","Volume(rx_ssw_coil_ssw_copper) [m3]","Volume(Region_Abs_2000mm) [m3]"
60.04,-0.462122604280559,-0.232357198645487,0.00184895330075583,0.00564247015035687,-185.505469258789,-152.570409553544,0.949254764227168,0.939768850022219,-174.332261518164,0.574521613874959,-87.6549979262658,0.00760747379172115,-0.697503665426733,-0.00400100164681257,-0.00795737472965847,0.159239333528286,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
61.28875,-0.430408423973027,-0.209075661176463,0.00183784916104169,0.0061265748471414,-181.246814576361,-142.181175163016,0.983499140186063,0.914473263409258,-165.745366008177,0.566267988872236,-80.5126481150522,0.0079810210088543,-0.707734711725266,-0.00427001205988678,-0.00879035441380485,0.167566466462767,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
62.5375,-0.400703636048016,-0.187079865878308,0.00182289333075196,0.00665788193405728,-176.522722550236,-131.379544568563,1.01391202536747,0.891955218028843,-157.450363479341,0.559525239876978,-73.5101711896531,0.00839506039695972,-0.716278046143236,-0.00454923081989086,-0.00974393113975031,0.174946364284466,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
63.78625,-0.37281053116304,-0.166234089840041,0.00180499168592865,0.00725055205604789,-171.341894493308,-120.197657347692,1.04052102210044,0.872030241680084,-149.415313664923,0.554282319398287,-66.6234363009194,0.00885668814101706,-0.723406063863746,-0.00484157912679587,-0.0108581319732042,0.181384928675788,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
65.035,-0.34655334827366,-0.146416021786583,0.00178488229963796,0.00792374027624849,-165.712961972782,-108.673007306134,1.06333305475912,0.854556205305907,-141.611039953463,0.550546403763192,-59.8295333585233,0.00937260544957097,-0.729351021726862,-0.00515038249819044,-0.0121904848790361,0.186887399285297,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
66.28375,-0.321775087855259,-0.12751471404786,0.00176316183941227,0.00870433943134043,-159.643963630864,-96.8491012209106,1.08233042418522,0.83943457791506,-134.010663227161,0.548342168990445,-53.1064462282492,0.00994974964137578,-0.73430944903586,-0.0054794852241805,-0.0138271245995228,0.191455425015075,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
67.5325,-0.298334811533548,-0.109428812261079,0.00174030046699576,0.00963177719454531,-153.141506683093,-84.7759901442757,1.09746156894491,0.826615819652211,-126.58919206962,0.547711059264726,-46.4327473621372,0.0105977701488663,-0.738442922376164,-0.0058333804829882,-0.0159034940710468,0.195083431073131,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
68.78125,-0.276105332726727,-0.0920650018633975,0.00171664282747731,0.0107670136284576,-146.209514608231,-72.5106000222902,1.10862286078327,0.816110737733662,-119.323154830604,0.548710157767217,-39.7873027780264,0.0113364510285113,-0.741873530181523,-0.00621734759891923,-0.01864598699541,0.197753241316839,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
70.03,-0.254971220665187,-0.0753366127770993,0.00169238842973473,0.0122110053361502,-138.847510387649,-60.1167377374308,1.11562483154826,0.808010604944941,-112.190260863423,0.551410052493209,-33.1489735115172,0.0122157875149514,-0.744670315805971,-0.00663756648816878,-0.0224643552098904,0.199425245329635,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
71.27875,-0.234827053267254,-0.0591623059455131,0.00166752925754125,0.0141474071350066,-131.04854885892,-47.6644775089758,1.11812505258552,0.802519983363558,-105.169079250078,0.555891712722734,-26.4962880384988,0.0133690682308913,-0.746815642397857,-0.00710109518618135,-0.0281856704347697,0.200021719795597,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
72.5275,-0.215575862079619,-0.0434646655304805,0.00164163405230175,0.0169593075233789,-122.797150652524,-35.227851750957,1.11543775476529,0.800008162078829,-98.2387228020426,0.562254264429149,-19.8070098736535,0.0151616817295773,-0.748098748397455,-0.0076151106921954,-0.0377693934202834,0.199380602825286,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
73.77625,-0.197127712180122,-0.0281679566033875,0.00161263505539499,0.0216413617165744,-114.066787480995,-22.8749739627786,1.10546371812836,0.801096650774628,-91.3785214156463,0.570809482890905,-13.0572520588366,0.018665526805253,-0.747536738063419,-0.00818066134669829,-0.0572506936907539,0.19699813154908,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
75.025,-0.1793982177176,-0.0131921630904804,0.00156406126761198,0.0321504231568225,-104.801421762431,-10.6142432258962,1.07229627730083,0.806931784047279,-84.5675982334496,0.585885633604289,-6.21873261763425,0.0252657638663036,-0.737292190383527,-0.00871837684627421,-0.118559879595532,0.189044382937035,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
76.27375,-0.162304974907875,0.00147849638422644,0.00153065913451894,nan,-95.0351149154098,1.14399824996512,nan,0.818469867149217,-77.783377879326,0.619369583748443,0.708557719889843,-0.00141681464853545,-0.733556306159486,-0.0094307591950755,1.03528094545851,nan,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
77.5225,-0.145773317309827,0.0159591324473547,0.00153089269743108,nan,-84.7333847192083,12.3955261918856,nan,0.83797511192035,-71.0044675434686,0.627121874721054,7.77350562360925,0.0050861118568982,-0.745679818867304,-0.010501871849272,0.0959258094060635,nan,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
78.77125,-0.129722000781082,0.0303349000361921,0.00150861907898225,nan,-73.7546980293657,23.3104711204367,nan,0.870505570918733,-64.2038755159917,0.644078975348094,15.0137843541322,0.0128918361519053,-0.746667419287539,-0.0116296315960173,0.0497321262698192,nan,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
80.02,-0.114066265598448,0.0446602148965752,0.00148469452225455,nan,-62.0234775969318,33.6544019486519,nan,0.92465458139289,-57.3502927139222,0.667202010800019,22.4542846524126,0.0219856120538881,-0.74647543684654,-0.0130160702155462,0.0332442314864097,nan,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
